新ID,,,,ENE,,,正例,負例,代表的な定義語,普通名詞フラグ,ENE英語表記,定義文,Definition,属性定義の有無,,注意事項用メモ,
1,4,4,0,,民族名,民族名＿その他,"ケルト人,  トラジャ（人）,  台湾人,  アフリカーナー
漢民族,  ユダヤ人,  アルタイ系諸族,  華僑,  アラブ系民,  日系人,  日系二世
黄色人種,  モンゴロイド,  白人
大阪人,  江戸っ子,  ニューヨーカー
弥生人","アメリカ人（→国籍名）
ネアンデルタール人（→哺乳類名）,  北京原人（→哺乳類名）","民族,  部族,  人種,  集団,  一派,  遊牧民",1,Ethnic_Group_Other,民族名のうち、その下位クラスに属さないもの。,A name of an ethnic group (1.4.4 Ethnic_Group) that does not belong to the other subordinate category (1.4.4.1 Nationality).,1,,,
1,4,4,1,,,国籍名,"イスラエル人,  アメリカ人,  日本国籍
日系アメリカ人","台湾人（→民族名＿その他）,  パレスチナ人（→民族名＿その他）,  日系人（→民族名＿その他）","民族,  国民,  国籍",1,Nationality,人の国籍の名前。,A name of a nationality.,1,,,
1,4,5,,,競技組織名,,,,,,Sports_Organization,スポーツ、競技に関する組織の名前。,A name of an organization related to sports.,,,,
1,4,5,0,,競技組織名,競技組織名＿その他,岐阜県地方競馬組合,"CAオール・ボーイズ（→競技団体名）,  ラシン・クラブ・ド・フランス（→競技団体名）","事務組合,  競馬倶楽部",,Sports_Organization_Other,競技組織名のうち、その下位クラスに属さないもの。,A name of an sports organization (1.4.5 Sports_Organization) that does not belong to any of the other subordinate categories (1.4.5.1 - 1.4.5.3). ,,,,
1,4,5,1,,,競技連盟名,"世界ボクシング協会, 日本野球連盟, 東アジアサッカー連盟,  日本相撲協会",横綱審議委員会（→組織名＿その他）,"団体,  組織,  法人,  協会,  連盟,  統括団体,  認定団体",,Sports_Federation,各競技を統轄する組織の名前。,A name of a governing body of a sport.,1,,,
1,4,5,2,,,競技リーグ名,"ＮＢＡ,  セリエＡ,  セントラル・リーグ,  日本プロサッカーリーグ,  アイビー・リーグ,  Jリーグ,  NFL,  大リーグ,  東京六大学野球,  ナ・リーグ西地区",横綱審議委員会（→組織名＿その他）,"シーズン,  リーグ,  トップディビジョン,  大会",,Sports_League,アマチュア、プロを問わず、団体戦競技が行われるリーグの名前。,"A name of a sports league, which is a group of sports teams that compete against each other, irrespective of professionals and amateurs.",1,,,
1,4,5,3,,,競技団体名,"読売ジャイアンツ,  ＡＣミラン,  鹿島アントラーズ,  ニューヨーク・ヤンキース
早稲田大学野球部,  桐山部屋,  グリーンツダボクシングクラブ,  プロレスリング・アイアン
CAオール・ボーイズ,  ラシン・クラブ・ド・フランス","Jリーグ(→  競技リーグ名)
高砂一門(→  流派名)
球団(→ ＣＯＮＣＥＰＴ), FC(→ ＣＯＮＣＥＰＴ)","クラブ,  チーム,  団体,  サッカークラブ,  ナショナルチーム,  プロレス団体,  総合スポーツクラブ",,Sports_Team,アマチュア、プロを問わず、また個人競技、団体競技を問わず競技に参加する選手が所属する組織の名前。,"A name of an organization where players of individual or team sports belong, irrespective of professionals and amateurs.",1,,,
1,4,6,,,法人名,,,,,,Juridical_Person,社団法人、財団法人などの法人の名前。,"A name of a juridical person, which is a company, a group of people or an organization authorized to act as a single entity (legally a person) and recognized as such in law.",,,,
1,4,6,0,,法人名,法人名＿その他,,,,,Juridical_Person_Other,法人のうち、その下位クラスに属さないもの。,A name of a juridical person (1.4.6 Juridical_Person) that does not belong to any of the other subordinate categories (1.4.6.1 - 1.4.6.3).,,,,
1,4,6,1,,,非営利団体名,"日本弁護士連合会,  宇宙開発事業団,  冷泉家時雨亭文庫
  
言語処理学会,  日本新聞協会,  日本芸術院,経団連,  全米ライフル協会,  日本エッセイスト・クラブ,  北海道アイヌ協会

香港観光協会,  （財）ぼけ予防協会,  骨髄移植推進財団,  全国高等学校体育連盟,  本州四国連絡橋公団

医療用医薬品製造業公正取引協議会,  トヨタ自動車労働組合,  国際協力事業団,  国際エンゼル協会

全国黒人向上協会,  信用農協連合会 日本商工会議所,  日本労働組合総連合会

日本記者クラブ,  日本赤十字社,  大阪商工会議所,  動力炉・核燃料開発事業団,  日本住宅金融

アジア・太平洋放送連合,  アムネスティー・インターナショナル","  

世界銀行（→国際組織名）

えひめ民社協会（→政党名）","団体,  法人,  組織,  協会,  組合
非営利団体,  業界団体,  公益法人,  財団法人,  社団法人.   学会,  労働組合,  NPO法人",,Nonprofit_Organization,"営利目的で経済行為を行わない法人の名前。
例えば、公共の協会、財団、学会や公益法人、労働組合など。
","A name of a nonprofit-oriented juridical person.
Examples are a public association, academic organization, public service corporation, labor union, etc.  ",1,,各国の代表から成り立つ国際的な団体の場合は、国際組織名に分類。,
